simulation,final_balance,max_drawdown,max_dd_duration,profit_loss
1,23694.37274015359,6.528399733902904,24.0,13694.37274015359
2,13532.126993696893,16.578873687397103,112.0,3532.126993696893
3,16208.124734681516,9.896903258214742,60.0,6208.124734681516
4,19046.058521407896,9.632976268090351,28.0,9046.058521407896
5,15686.851266621645,19.23060329614794,99.0,5686.851266621645
6,16671.08121619851,6.84464855429775,53.0,6671.081216198509
7,17019.515917749835,10.49158028083718,101.0,7019.515917749835
8,23858.733715236976,10.694399174663378,42.0,13858.733715236976
9,18234.064152101273,7.475386310500143,51.0,8234.064152101273
10,20392.126780048926,10.047629898634353,70.0,10392.126780048926
11,19071.823177484854,6.602495222616484,69.0,9071.823177484854
12,16598.766671819332,7.977785872766963,31.0,6598.766671819332
13,17649.072208384234,7.53804332826376,60.0,7649.072208384234
14,17641.07049394913,8.037729758908164,50.0,7641.07049394913
15,20514.630237638055,8.172717930346614,46.0,10514.630237638055
16,25603.741524614103,3.741229340713707,17.0,15603.741524614103
17,14666.037404052335,12.873216724523035,103.0,4666.037404052335
18,16347.060626329137,9.48715114399655,37.0,6347.060626329137
19,23333.615183409034,7.385246800834308,17.0,13333.615183409034
20,21319.383814103527,7.3387265896673535,51.0,11319.383814103527
21,13497.5034663775,15.486979761878365,102.0,3497.5034663775004
22,20279.112523491378,7.591573658730715,59.0,10279.112523491378
23,23154.18628301673,8.938104621103683,26.0,13154.18628301673
24,17994.141618381153,13.307447029017085,39.0,7994.1416183811525
25,14290.277144365386,8.937455927382276,51.0,4290.2771443653855
26,17074.12003418975,10.50856454238959,50.0,7074.120034189749
27,17669.150150686582,15.367908444918266,83.0,7669.1501506865825
28,15348.816358036027,14.414937071725342,84.0,5348.816358036027
29,16128.171584071033,7.4539185130255845,35.0,6128.171584071033
30,15742.950349366269,12.201389501887814,60.0,5742.950349366269
31,17993.95962910926,9.444900162548711,46.0,7993.95962910926
32,13436.436498080378,14.476434179718447,109.0,3436.4364980803784
33,17090.146867814146,14.840104125355175,70.0,7090.146867814146
34,18678.074397028256,5.140109932957598,51.0,8678.074397028256
35,22454.250978592016,5.613451740670544,25.0,12454.250978592016
36,19727.90853175781,9.137319862771475,36.0,9727.90853175781
37,17979.83182718004,7.892071988074324,39.0,7979.831827180042
38,16010.788605550802,11.090777626385576,82.0,6010.7886055508025
39,18604.814022691236,6.163685069420117,38.0,8604.814022691236
40,17339.63977251891,7.367504884691069,49.0,7339.639772518909
41,14390.181818389388,20.917359096127562,174.0,4390.181818389388
42,19421.841881119002,9.364569211113473,74.0,9421.841881119002
43,14645.465259927127,14.827719883842219,74.0,4645.465259927127
44,21133.91528706605,7.107620102051042,34.0,11133.915287066051
45,19924.961341862007,17.03168478948747,68.0,9924.961341862007
46,15126.4390379121,11.804230469234225,43.0,5126.4390379121
47,17411.93939369854,12.165636702093984,46.0,7411.93939369854
48,20406.31951336792,11.25974132359612,76.0,10406.319513367918
49,14419.74710970533,11.76803918041578,142.0,4419.747109705329
50,18489.840392882048,7.94859431045177,43.0,8489.840392882048
51,18577.04966519661,13.94438375733682,100.0,8577.04966519661
52,22185.67328827294,12.591122536702889,66.0,12185.673288272941
53,15963.767101927726,9.302668436693736,87.0,5963.767101927726
54,17644.425556440227,10.96418932983591,119.0,7644.4255564402265
55,13263.603478807998,18.456940172522888,188.0,3263.603478807998
56,15917.024105049393,12.806314934791246,69.0,5917.024105049393
57,20506.70572549731,5.832339379844505,26.0,10506.705725497312
58,18071.77097890734,12.171882724783371,67.0,8071.7709789073415
59,21149.287465234545,12.352801610890742,68.0,11149.287465234545
60,23423.038812113387,3.8020535484548477,23.0,13423.038812113387
61,19819.0337175429,6.180841763082684,20.0,9819.033717542901
62,18808.37931350828,5.33066665013396,49.0,8808.379313508281
63,16947.032379193213,11.423106213878533,50.0,6947.032379193213
64,15211.52419793592,13.835964773769287,73.0,5211.52419793592
65,20022.629896153077,6.946544845153954,33.0,10022.629896153077
66,17479.27182132237,10.545255177934044,87.0,7479.271821322371
67,15307.48460024377,9.630760328609473,58.0,5307.48460024377
68,22581.121309437527,10.043779738424245,26.0,12581.121309437527
69,18521.94934866573,11.27077029997226,66.0,8521.94934866573
70,22640.23920256297,5.725919109700952,52.0,12640.23920256297
71,21546.083433684922,5.654480066447733,23.0,11546.083433684922
72,21741.320117512318,12.700343143053578,31.0,11741.320117512318
73,17021.12977380702,11.095954223861481,65.0,7021.129773807021
74,18665.46354703064,7.462063526748554,40.0,8665.463547030638
75,19950.1727698982,5.916659238865994,28.0,9950.1727698982
76,12993.358278434156,16.81807098229503,117.0,2993.358278434156
77,19671.19728961827,6.2011826551730485,43.0,9671.19728961827
78,24685.723092714135,5.890326111914888,49.0,14685.723092714135
79,17368.46937362849,4.910667762102652,34.0,7368.46937362849
80,22030.040295506096,4.981525865764585,21.0,12030.040295506096
81,16087.53858965009,8.74010128499136,59.0,6087.53858965009
82,17764.69146011675,6.480734776263103,87.0,7764.691460116748
83,18266.811604494156,13.522274223717625,69.0,8266.811604494156
84,18021.402376020338,11.425917279594977,109.0,8021.402376020338
85,17428.17098148453,6.858243683184974,48.0,7428.170981484531
86,15914.920498626616,7.350890851299491,41.0,5914.920498626616
87,20711.230485738015,11.303236941825777,27.0,10711.230485738015
88,16696.427039073285,8.472719371116565,45.0,6696.427039073285
89,17870.823947297118,8.77750692686779,38.0,7870.823947297118
90,18154.086494793322,7.47102877269686,52.0,8154.086494793322
91,17459.917564372172,9.968455171728746,64.0,7459.917564372172
92,16704.651209704076,8.114905303299642,40.0,6704.651209704076
93,20691.131650607218,6.110889485528823,25.0,10691.131650607218
94,20161.854028515358,7.613344472571945,51.0,10161.854028515358
95,16700.27552087203,9.34417266985535,63.0,6700.27552087203
96,19258.087304163233,9.080762375734938,34.0,9258.087304163233
97,18464.530701253083,9.999551759023607,49.0,8464.530701253083
